,music_names,labels,chroma_rms_mean,chroma_rms_var,chroma_stft_mean,chroma_stft_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,mfcc_mean_13,mfcc_var_13,mfcc_mean_14,mfcc_var_14,mfcc_mean_15,mfcc_var_15,mfcc_mean_16,mfcc_var_16,mfcc_mean_17,mfcc_var_17,mfcc_mean_18,mfcc_var_18,mfcc_mean_19,mfcc_var_19,mfcc_mean_20,mfcc_var_20
1031,Who Am I - Text Me Records.mp3,Romantic,0.1974189,0.0071539246,0.24189456,0.08537297,1103.5738407687325,179121.67901171866,1197.5613450159492,190099.87517068197,2050.745932753241,1071156.7953364193,0.058684452399380804,0.0004422936679329031,-1.2604651e-05,0.038415886,3.8171453e-05,0.0036281338,112.34714673913044,-189.449,7269.0107,164.36784,1551.2002,-29.968,531.6841,16.598684,320.18326,-3.8058977,178.05844,1.4719045,135.45639,-8.805218,191.20926,-11.502943,189.32076,1.878881,86.03482,-6.6760406,186.86642,3.5742702,112.41328,4.1689825,97.31322,-3.1510096,146.90459,8.980228,102.41088,5.4754043,100.51879,-0.7151355,91.915276,-6.0703583,99.27937,-4.278433,95.332115,-1.8074348,93.56613,-2.191661,109.980385
1032,Where Am I - Text Me Records.mp3,Romantic,0.17692181,0.007583795,0.43845028,0.09405211,1501.9778120003186,829481.6846348721,2134.892775483218,472413.4915357144,3375.096257921343,5431045.129061005,0.03402171415441176,0.0008007448089945577,-7.1926793e-06,0.024537887,0.00012002803,0.0054968917,151.99908088235293,-213.47018,14016.669,88.6333,1769.4286,24.409897,478.22626,57.2645,283.84882,26.324043,144.91539,32.653015,112.369896,11.348734,78.562515,9.480146,55.599445,3.92342,111.013,1.3342892,79.45923,2.4701807,82.192764,4.8574233,69.860405,-0.77435285,64.598495,5.312664,47.744274,0.15852545,50.715195,1.8940178,42.32923,-0.75980127,40.156994,4.282866,43.74469,-3.946754,30.735275,-4.0467644,46.099266
1033,Electro Dollars - Rondo Brothers.mp3,Romantic,0.32870895,0.012864231,0.49727696,0.07145278,1449.7929520237649,220336.71582709692,2367.6680958607676,181921.5289968166,3279.880167013351,2587481.1142834486,0.030791952883126934,0.00027252812991563534,1.498864e-05,0.08432923,1.7922265e-06,0.010465409,161.4990234375,-76.73727,1383.8967,127.64527,384.3825,34.555016,179.00499,25.02487,57.188686,7.922207,44.07925,7.8708186,47.90639,8.250535,31.530258,7.6798143,23.137947,6.736093,32.464325,-0.56701416,32.522865,1.5889275,19.773287,6.400894,21.704903,1.2933553,11.163541,4.8631263,16.54085,-4.1415896,11.391382,4.5533237,19.060873,-3.0088542,14.770221,4.848965,13.111561,-0.34153944,13.773107,3.842024,14.790798
1034,Cycles - Density & Time.mp3,Romantic,0.079296246,0.004364826,0.22405225,0.08529024,1112.083353557739,242955.51022597484,1217.5941497519775,165299.67401338505,1799.1224542859907,990667.4663247281,0.053644044480456655,0.0003286970568788287,1.7934465e-08,0.0094854385,-1.0971915e-05,0.00047067978,112.34714673913044,-313.85336,6268.443,159.21858,1793.9462,-8.440257,593.5273,3.9531884,281.33588,-0.9188748,207.71967,-10.384057,182.85344,-12.578053,165.3497,-7.9843197,174.80275,-12.760587,192.63783,-11.3061905,247.51228,-4.131617,358.25903,-4.1465344,290.57358,-5.6946855,244.2999,-0.92591524,163.35309,-1.1676606,107.65722,-0.66600573,100.62115,-0.5630697,84.62787,-0.8708105,63.800743,-1.3122834,85.656815,6.2418604,112.74769
1035,Connection - Wayne Jones.mp3,Romantic,0.05325275,0.0019041912,0.27860886,0.09806143,761.0467425636313,85269.51711670707,744.1816892870439,67180.43299862262,1198.8094176301277,297038.5162977098,0.05575703245936533,0.000746461105234245,5.5627484e-06,0.0027162929,-9.738126e-05,0.0012632736,135.99917763157896,-364.22745,2203.9111,165.40039,1143.4806,12.266559,553.8318,-13.548138,393.65945,-10.625967,272.92258,-12.374531,201.379,-3.1311345,172.39926,1.0083375,179.52652,1.4275413,178.26074,3.9431648,109.83236,5.2734785,59.570984,5.5045605,63.40593,1.9520781,76.41918,-6.9962215,136.6694,-11.433444,92.00351,-6.5927296,71.35076,-4.7529798,71.1812,-3.0313096,76.124374,5.71979,264.1908,5.463121,61.792316
1036,Love Song - Max McFerren.mp3,Romantic,0.2524481,0.022826351,0.5031179,0.09543503,536.4515027424836,151665.56585106807,829.8706696677624,287813.17308541626,1042.8103609350812,758138.5148636337,0.016940940644349846,0.00013687032079128542,-1.9931644e-05,0.02717637,0.00018556515,0.049399063,123.046875,-272.0999,12205.328,163.67224,695.2258,44.31446,2171.0237,10.793418,303.56396,-4.2989774,139.5028,2.9779508,225.15964,5.458098,120.254135,9.099975,83.46616,12.487234,74.833,18.287115,90.10385,17.357122,181.66556,13.453243,130.8976,6.4021864,111.56612,4.00138,56.25922,1.8789128,80.966896,2.456853,58.567635,1.6700912,53.15963,3.4373465,24.074638,3.3264961,48.267887,3.200636,54.34566
1037,Wedding Invitation - Jason Farnham.mp3,Romantic,0.06982343,0.0004343276,0.3304494,0.07883365,1087.3231089657652,52933.281078680935,1268.9455826958895,70039.66941634446,2057.9792223478617,313156.5501894732,0.053846235245743036,0.00010584987757331173,0.0013607243,0.0038195422,0.0007636824,0.0002940983,161.4990234375,-214.31448,2758.9236,179.97281,530.1538,-39.369823,93.10231,27.788282,29.298351,-5.3809223,62.839844,1.3673581,21.900679,-7.6620865,28.448614,-7.9780207,31.165432,-9.851382,30.883516,-7.009941,26.226496,-11.2080145,29.514158,-8.168286,24.513012,-8.767196,27.579535,-5.2941775,16.371862,-7.223449,22.41224,-6.1595016,30.178526,-7.435627,37.179592,-2.4635086,37.021606,-3.5439785,34.212418,-2.3719268,51.207577
1038,Young And Old Know Love - Puddle of Infinity.mp3,Romantic,0.07554457,0.0019424454,0.33335936,0.078642614,1242.4926302139027,24963.740127071505,1466.9235195430015,19677.805399900037,2037.8460107573046,77662.38820004299,0.07565713888351393,0.00032634930851111485,-6.4647356e-06,0.006418755,-0.00011856455,0.0002114628,112.34714673913044,-213.3846,8515.381,156.91646,435.0846,-28.058765,132.65413,2.1208267,51.4746,4.9801555,57.728218,12.595675,51.164158,0.027585575,60.12277,-3.381701,58.570965,-7.4219704,45.354946,0.5460895,63.68574,-6.2394686,68.94717,-3.7377768,56.71979,-6.4266276,41.713047,-6.1049976,41.34872,-3.7072213,63.454094,-0.60060626,44.036255,-5.3437495,56.85778,0.9252584,56.443645,-3.7029333,56.5324,-3.5547955,60.026302
1039,Cuban Sandwich - Doug Maxwell_Media Right Productions.mp3,Romantic,0.20711805,0.0044269618,0.33040598,0.08188397,2010.0428586098626,227382.06915084986,2346.6971254958203,155004.32381698999,4497.06447353304,1601574.3405923655,0.0784314985245743,0.00047290582184794807,4.948259e-06,0.029467484,-2.0211613e-05,0.0062348526,129.19921875,-59.05627,2158.0017,105.6161,544.7021,1.4228009,374.97842,28.025131,99.23282,-3.0922046,83.50202,4.963942,114.83691,-10.296702,43.950554,0.64461094,41.625168,-6.263942,39.18337,-2.6639454,59.70431,-7.806172,52.723007,1.1024941,74.23736,-1.1102549,55.390007,-1.4170893,48.791344,-8.680388,36.482605,-0.2315021,36.42631,-7.194853,43.141388,2.096091,51.088802,-3.6112165,76.828896,2.6569765,56.710144
1040,Summer Nights - The 126ers.mp3,Romantic,0.21506338,0.0057137394,0.46290374,0.07511163,2128.1567352677134,422075.0335751975,2557.4370809934157,142659.83842035223,4831.162453288264,2120920.8219613563,0.07007894132159442,0.0016341486938946119,-2.0054737e-05,0.034563996,-0.00043781058,0.004752885,89.10290948275862,-83.57993,3523.1865,81.93335,458.36386,5.101436,246.68735,41.32022,125.088806,17.691395,133.39882,15.394719,61.135643,12.730183,69.5024,13.753043,53.92577,6.982851,46.073326,7.8689084,37.451923,0.7028973,34.573475,8.534331,31.809065,2.9903224,40.01929,7.7300835,34.517918,2.6508944,33.2176,8.985933,42.763634,-1.8079286,46.31685,2.2628555,32.767067,-4.771728,35.107327,-4.053936,39.32987
